"{0.5, 1.49549523}","{0.5, 0.9806865}","{0.5, 1.03156064}","{0.5, 0.28688036}","{0.5, 1.04398333}","{0.5, 0.24700047}","{0.5, 1.63990868}","{0.5, 0.55086377}","{0.5, 0.69102504}","{0.5, 0.46170185}","{0.5, 1.2593018}","{0.5, 1.36543978}","{0.5, 1.3386996}","{0.5, 2.86152844}"
"{1., 2.51454335}","{1., 0.57272136}","{1., 0.70405097}","{1., 0.58213748}","{1., 1.55324543}","{1., 0.78673245}","{1., 1.80432571}","{1., 1.04425973}","{1., 0.42634478}","{1., 0.68230208}","{1., 2.63596269}","{1., 1.79929898}","{1., 1.69809105}","{1., 2.92612359}"
"{2., 1.87721889}","{2., 1.93549497}","{2., 1.5909914}","{2., 1.12112038}","{2., 2.74167238}","{2., 0.76649698}","{2., 1.96591152}","{2., 0.83546305}","{2., 0.96110933}","{2., 0.91804371}","{2., 3.51720732}","{2., 2.15472801}","{2., 3.64325743}","{2., 2.72555475}"
"{4., 2.12763813}","{4., 2.05842024}","{4., 2.24382795}","{4., 1.88581854}","{4., 2.84006716}","{4., 1.51087909}","{4., 2.52870173}","{4., 0.90322931}","{4., 1.29625494}","{4., 0.99852519}","{4., 7.06352259}","{4., 1.53599566}","{4., 2.75442896}","{4., 5.32661458}"
"{8., 3.55290093}","{8., 4.63205903}","{8., 2.88645961}","{8., 2.29270376}","{8., 5.27402953}","{8., 1.45538792}","{8., 3.13216599}","{8., 2.0907795}","{8., 1.48899757}","{8., 1.65519115}","{8., 9.34462048}","{8., 1.85604484}","{8., 3.17842094}","{8., 8.01812485}"
"{16., 3.91372552}","{16., 6.77454081}","{16., 3.07810943}","{16., 2.55644009}","{16., 5.24821366}","{16., 2.2883144}","{16., 4.30826202}","{16., 2.86445692}","{16., 2.57539488}","{16., 2.57038435}","{16., 10.3150064}","{16., 2.60738153}","{16., 9.86567975}","{16., 6.17295994}"
"{32., 6.48721889}","{32., 7.77795198}","{32., 3.63240696}","{32., 3.96898284}","{32., 6.15284523}","{32., 2.97518687}","{32., 5.30227911}","{32., 3.5790871}","{32., 3.18110605}","{32., 3.53179266}","{32., 16.34888055}","{32., 6.17663866}","{32., 8.08748059}","{32., 13.96868793}"
"{64., 6.45355492}","{64., 12.66651358}","{64., 5.58996486}","{64., 5.75920974}","{64., 9.46491342}","{64., 4.83989999}","{64., 7.66458795}","{64., 5.68475633}","{64., 4.383993}","{64., 4.17327764}","{64., 23.47317567}","{64., 10.75605602}","{64., 9.94452491}","{64., 16.06090395}"
"{128., 11.36578325}","{128., 18.50774585}","{128., 7.27974305}","{128., 8.39724472}","{128., 10.6785761}","{128., 5.0225695}","{128., 10.77136545}","{128., 7.9220852}","{128., 5.53545771}","{128., 4.49744532}","{128., 22.78826759}","{128., 14.72501524}","{128., 27.02248414}","{128., 22.93787718}"
"{256., 11.84185003}","{256., 19.52068656}","{256., 8.74704885}","{256., 19.79665509}","{256., 12.74303625}","{256., 10.18498095}","{256., 17.79701635}","{256., 10.5669333}","{256., 10.39439379}","{256., 7.37784168}","{256., 34.07208984}","{256., 28.41514407}","{256., 30.61533179}","{256., 31.12248665}"
"{512., 16.78545937}","{512., 15.41759256}","{512., 11.22753812}","{512., 35.51558721}","{512., 17.23375343}","{512., 17.84307267}","{512., 25.14356733}","{512., 15.96802606}","{512., 21.00795665}","{512., 12.38971761}","{512., 104.615685}","{512., 52.26140555}","{512., 32.44477935}","{512., 54.14034476}"
"{1028., 25.43306714}","{1028., 35.12728527}","{1028., 14.97432487}","{1028., 31.47109222}","{1028., 28.67715923}","{1028., 20.04863949}","{1028., 33.91364244}","{1028., 25.4705151}","{1028., 40.35549252}","{1028., 19.639305}","{1028., 124.01609178}","{1028., 89.19007357}","{1028., 41.8420773}","{1028., 99.19538093}"
"{2048., 22.95050234}","{2048., 31.07070593}","{2048., 17.25999395}","{2048., 62.1773486}","{2048., 54.31706259}","{2048., 21.67328389}","{2048., 29.75869627}","{2048., 27.0207193}","{2048., 65.31218513}","{2048., 30.72362661}","{2048., 398.97176601}","{2048., 66.50227528}","{2048., 69.40354343}","{2048., 138.9351505}"
"{4096., 15.14247154}","{4096., 111.94824976}","{4096., 12.31583794}","{4096., 103.43463135}","{4096., 34.75259699}","{4096., 36.01184256}","{4096., 46.21930182}","{4096., 28.19680512}","{4096., 28.68118795}","{4096., 9.71169287}","{4096., 502.40416399}","{4096., 101.38054164}","{4096., 36.78784325}","{4096., -125.70641555}"
"{6250., -3.40539399}","{6250., -4.26334487}","{6250., -4.72760825}","{6250., -5.53113306}","{6250., -3.91093293}","{6250., -3.45262492}","{6250., -3.1528625}","{6250., -3.61271561}","{6250., -3.74716931}","{6250., -2.88416792}","{6250., -3.11963331}","{6250., -7.26367468}","{6250., -7.0599259}","{6250., -6.70605719}"
