"{0.5, 0.06674841}","{0.5, 0.03655268}","{0.5, 0.47723852}","{0.5, -0.05424138}","{0.5, 0.41169344}","{0.5, 0.08412169}","{0.5, 0.49183883}","{0.5, 0.88073467}","{0.5, 0.00063967}","{0.5, 0.32770814}","{0.5, 0.45836761}","{0.5, -0.0803895}"
"{1., 0.25519956}","{1., 0.28323989}","{1., 0.44788479}","{1., 0.53806217}","{1., -0.04724586}","{1., 0.27399804}","{1., 0.80804562}","{1., 1.32123957}","{1., -0.0232349}","{1., 0.31147011}","{1., 0.20844513}","{1., 0.76062446}"
"{2., 0.75825533}","{2., 0.56852524}","{2., 0.51397063}","{2., 0.92968496}","{2., 0.67245713}","{2., 0.23471488}","{2., 0.63846846}","{2., 1.58042536}","{2., 0.27464508}","{2., 0.02801486}","{2., 0.868044}","{2., 1.33950059}"
"{4., 2.85600418}","{4., 1.38864997}","{4., 0.67859275}","{4., 1.39932028}","{4., 0.43423998}","{4., 0.56017207}","{4., 0.53290853}","{4., 1.64299274}","{4., 0.33487028}","{4., 0.26859952}","{4., 0.76352647}","{4., 2.1443764}"
"{8., 2.23222764}","{8., 0.89164089}","{8., 0.85408917}","{8., 0.65644535}","{8., 0.65399703}","{8., 0.64634075}","{8., 0.62552388}","{8., 1.89983481}","{8., 0.28694535}","{8., 0.43629955}","{8., 1.28521047}","{8., 1.32618888}"
"{16., 2.39034437}","{16., 1.55225167}","{16., 1.75304852}","{16., 0.96473453}","{16., 3.31922108}","{16., 0.94420648}","{16., 0.75423494}","{16., 2.52688753}","{16., 0.5450171}","{16., 0.48931094}","{16., 1.56280036}","{16., 2.96698192}"
"{32., 2.06111719}","{32., 2.27821261}","{32., 2.16968239}","{32., 2.33421512}","{32., 3.18334425}","{32., 1.39211215}","{32., 1.32266828}","{32., 2.58693759}","{32., 1.04148837}","{32., 0.75016433}","{32., 2.68082837}","{32., 3.45440545}"
"{64., 2.63972594}","{64., 6.08491308}","{64., 2.72940854}","{64., 3.66052567}","{64., 2.68966024}","{64., 1.71583628}","{64., 1.55014031}","{64., 3.83984996}","{64., 1.50367475}","{64., 0.93491722}","{64., 4.04681606}","{64., 5.96861921}"
"{128., 4.68666675}","{128., 13.94830105}","{128., 4.38118337}","{128., 4.03688194}","{128., 8.49808268}","{128., 2.24032377}","{128., 2.39333932}","{128., 6.03914872}","{128., 2.83492532}","{128., 2.35821739}","{128., 3.97988928}","{128., 9.16142394}"
"{256., 5.890232}","{256., 33.95756857}","{256., 7.17753995}","{256., 6.3298159}","{256., 5.10868049}","{256., 3.66476468}","{256., 4.17283386}","{256., 9.0070222}","{256., 3.22605116}","{256., 4.61540893}","{256., 4.49030139}","{256., 14.12617509}"
"{512., 9.36412308}","{512., 26.92835013}","{512., 11.32873975}","{512., 9.47507992}","{512., 6.32061215}","{512., 5.87681874}","{512., 5.39991903}","{512., 15.35025303}","{512., 4.293883}","{512., 8.57178759}","{512., 6.71298733}","{512., 20.11748653}"
"{1028., 12.14360779}","{1028., 28.4093041}","{1028., 15.70213488}","{1028., 13.2096463}","{1028., 9.60073337}","{1028., 8.99444433}","{1028., 8.9136954}","{1028., 21.3514002}","{1028., 5.7023874}","{1028., 13.95315614}","{1028., 12.8413489}","{1028., 25.09140295}"
"{2048., 12.34135577}","{2048., 20.11088902}","{2048., 18.12547421}","{2048., 24.05627582}","{2048., 14.0469515}","{2048., 13.53219633}","{2048., 11.47341795}","{2048., 27.67829676}","{2048., 6.26908445}","{2048., 23.3139523}","{2048., 22.03617052}","{2048., 11.0259164}"
"{4096., 10.12211211}","{4096., 17.96681602}","{4096., 12.53439404}","{4096., 18.21176424}","{4096., 5.98852706}","{4096., 13.74616827}","{4096., 10.15047198}","{4096., 19.03710606}","{4096., 6.01173873}","{4096., 5.32752739}","{4096., 12.48349504}","{4096., 33.44477513}"
"{6250., -3.24893041}","{6250., -3.26696227}","{6250., -3.48107684}","{6250., -3.55993153}","{6250., -3.95283089}","{6250., -3.81213877}","{6250., -5.12495888}","{6250., -4.26910392}","{6250., -3.19151893}","{6250., -3.32834364}","{6250., -6.48045028}","{6250., -7.00468274}"
