"{0.5, 0.16143608}","{0.5, 0.58199683}","{0.5, 0.16423449}","{0.5, 0.23301463}","{0.5, 0.21235822}","{0.5, 0.2089201}","{0.5, 0.33966007}","{0.5, 0.40892112}","{0.5, -0.00254579}","{0.5, 0.16324715}","{0.5, 0.5184302}","{0.5, 0.60991732}"
"{1., 0.25216954}","{1., 0.54608865}","{1., 0.22151474}","{1., 1.29003977}","{1., 0.2658754}","{1., 0.14403976}","{1., 0.61974242}","{1., 0.65105337}","{1., 0.15148704}","{1., 0.25139712}","{1., 0.40560752}","{1., 0.27329045}"
"{2., 0.53747798}","{2., 0.7406545}","{2., 0.47033336}","{2., 0.98628597}","{2., 0.73947477}","{2., 0.47152353}","{2., 1.04840362}","{2., 1.14224282}","{2., 0.36159142}","{2., 0.29772047}","{2., 0.71496725}","{2., 0.69222443}"
"{4., 2.13274656}","{4., 1.18289133}","{4., 0.69464314}","{4., 0.88700622}","{4., 0.65104671}","{4., 0.62708333}","{4., 0.66087335}","{4., 1.55711557}","{4., 0.28154133}","{4., 0.43230026}","{4., 1.54452263}","{4., 1.48599489}"
"{8., 1.48327834}","{8., 1.2792319}","{8., 1.3507796}","{8., 1.25425005}","{8., 1.8758044}","{8., 0.90458875}","{8., 1.07431646}","{8., 1.73064404}","{8., 0.4660014}","{8., 0.55861636}","{8., 2.30553981}","{8., 2.26197036}"
"{16., 2.99947613}","{16., 2.45178689}","{16., 2.25069278}","{16., 1.73526958}","{16., 3.10663052}","{16., 1.54456483}","{16., 1.60536592}","{16., 2.71922305}","{16., 0.91382712}","{16., 0.91771508}","{16., 3.2816975}","{16., 5.00463244}"
"{32., 3.46964755}","{32., 4.44912713}","{32., 3.63897742}","{32., 3.55032769}","{32., 3.39300858}","{32., 2.836598}","{32., 2.63189612}","{32., 4.85382947}","{32., 1.86117353}","{32., 1.92454577}","{32., 6.30985378}","{32., 5.94339237}"
"{64., 5.63209797}","{64., 10.53261224}","{64., 6.3027161}","{64., 6.17199657}","{64., 5.5097156}","{64., 5.10239075}","{64., 5.00542774}","{64., 8.49513686}","{64., 3.4243136}","{64., 3.52896998}","{64., 11.34762446}","{64., 10.95456425}"
"{128., 9.2738977}","{128., 19.53147285}","{128., 11.14736004}","{128., 10.33136444}","{128., 14.90615007}","{128., 7.98214641}","{128., 8.86397548}","{128., 14.85653659}","{128., 6.8797099}","{128., 8.25010372}","{128., 17.78668203}","{128., 20.62818443}"
"{256., 15.66662637}","{256., 43.56829047}","{256., 21.80376172}","{256., 19.50448767}","{256., 15.44104359}","{256., 14.96987651}","{256., 17.04102157}","{256., 27.97778712}","{256., 11.24235221}","{256., 16.61566487}","{256., 28.93721204}","{256., 41.6286226}"
"{512., 30.94892105}","{512., 56.89741699}","{512., 38.96136624}","{512., 33.3985243}","{512., 27.8578709}","{512., 28.85319064}","{512., 30.77462053}","{512., 53.44187847}","{512., 20.64943268}","{512., 34.35239045}","{512., 53.35878013}","{512., 86.65371653}"
"{1028., 57.29421776}","{1028., 100.88408743}","{1028., 68.09585117}","{1028., 59.24448949}","{1028., 51.68335529}","{1028., 56.90277796}","{1028., 58.86132932}","{1028., 108.58183122}","{1028., 37.03510188}","{1028., 68.72595177}","{1028., 101.36706168}","{1028., 153.50274011}"
"{2048., 90.51012366}","{2048., 140.00765912}","{2048., 109.06489053}","{2048., 110.63838227}","{2048., 92.20777636}","{2048., 111.69749459}","{2048., 105.04525841}","{2048., 142.03198524}","{2048., 67.09473129}","{2048., 160.79898519}","{2048., 203.6292432}","{2048., 241.49008241}"
"{4096., 151.20876793}","{4096., 167.24436045}","{4096., 172.17815713}","{4096., 172.53338081}","{4096., 168.58628657}","{4096., 200.03754155}","{4096., 177.16864445}","{4096., 196.79314656}","{4096., 115.26121535}","{4096., 222.42105641}","{4096., 327.60973167}","{4096., 405.76703682}"
"{6250., 185.49825066}","{6250., 201.36556756}","{6250., 191.69375969}","{6250., 197.57325113}","{6250., 210.77060867}","{6250., 257.86778776}","{6250., 210.20316192}","{6250., 249.61583831}","{6250., 136.44745912}","{6250., 277.74573889}","{6250., 377.29678295}","{6250., 558.13132031}"
